Year,Country,GDP (Current USD),Total Population,Life Expectancy,GDP/Capita,Area (km2),Population Density (/km2),Unemployment Rate (%)
1968,Italy,87942231678.00,53235750.00,71.00,1652.00,301340.00,181.00, -
1968,Mexico,29360000000.00,48894019.00,61.00,600.00,1964380.00,25.00, -
1968,Nigeria,5200895982.00,53505978.00,33.00,97.00,923770.00,59.00, -
1968,Netherlands,27817605743.00,12729721.00,74.00,2185.00,41530.00,377.00, -
1968,New Zealand,5180597621.00,2748100.00,71.00,1885.00,267710.00,10.00, -
1968,Thailand,6081009428.00,34790945.00,59.00,175.00,513120.00,68.00, -
1968,United States,942500000000.00,200706000.00,70.00,4696.00,9629090.00,22.00,4.00
1969,Australia,36620002240.00,12263000.00,71.00,2986.00,7741220.00,2.00, -
1969,Brazil,37458898244.00,92935072.00,59.00,403.00,8515770.00,11.00, -
1969,Canada,77887510242.00,21028000.00,72.00,3704.00,9984670.00,2.00,5.00
1969,China,79705906247.00,796025000.00,59.00,100.00,9562950.00,85.00, -
1969,France,140725497222.00,51638260.00,71.00,2725.00,549086.00,94.00, -
1969,United Kingdom,112676874822.00,55441750.00,72.00,2032.00,243610.00,229.00, -
1969,India,57668330026.00,541505076.00,48.00,106.00,3287260.00,182.00, -
1969,Ireland,3787077344.00,2932650.00,72.00,1291.00,70280.00,43.00, -
1969,Italy,97085082807.00,53537950.00,71.00,1813.00,301340.00,182.00, -
1969,Mexico,32480000000.00,50423481.00,61.00,644.00,1964380.00,26.00, -
1969,Nigeria,6634187316.00,54716735.00,32.00,121.00,923770.00,60.00, -
1969,Netherlands,31503868835.00,12877984.00,74.00,2446.00,41530.00,381.00, -
1969,New Zealand,5761588762.00,2772800.00,72.00,2078.00,267710.00,11.00, -
1969,Thailand,6695336567.00,35826804.00,59.00,187.00,513120.00,70.00, -
1969,United States,1019900000000.00,202677000.00,71.00,5032.00,9629090.00,22.00,4.00
1970,Australia,41261059469.00,12507000.00,71.00,3299.00,7741220.00,2.00, -
1970,Brazil,42327600098.00,95326793.00,60.00,444.00,8515770.00,11.00, -
1970,Canada,87896095224.00,21324000.00,73.00,4122.00,9984670.00,2.00,6.00
1970,China,92602973434.00,818315000.00,61.00,113.00,9562950.00,87.00, -
1970,France,148456359986.00,52035095.00,72.00,2853.00,549086.00,95.00,2.00
1970,United Kingdom,130671946244.00,55663250.00,72.00,2348.00,243610.00,230.00, -
1970,India,61589800520.00,553578513.00,49.00,111.00,3287260.00,186.00, -
1970,Ireland,4401259686.00,2957250.00,72.00,1488.00,70280.00,43.00, -
1970,Italy,113021271995.00,53821850.00,72.00,2100.00,301340.00,183.00,5.00
1970,Mexico,35520000000.00,52029861.00,62.00,683.00,1964380.00,27.00, -
1970,Nigeria,12545849083.00,55981400.00,42.00,224.00,923770.00,61.00, -
1970,Netherlands,37677621538.00,13038526.00,74.00,2890.00,41530.00,386.00, -
1970,New Zealand,6623527495.00,2810700.00,71.00,2357.00,267710.00,11.00, -
1970,Thailand,7086538438.00,36884913.00,60.00,192.00,513120.00,72.00, -
1970,United States,1075884000000.00,205052000.00,71.00,5247.00,9629090.00,22.00,5.00
1971,Australia,45138313361.00,12937000.00,71.00,3489.00,7741220.00,2.00, -
1971,Brazil,49204456700.00,97728961.00,60.00,503.00,8515770.00,12.00, -
1971,Canada,99271961478.00,21645535.00,73.00,4586.00,9984670.00,2.00,6.00
1971,China,99800958648.00,841105000.00,62.00,119.00,9562950.00,90.00, -
